Global Land Temperature Anomalies, July
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.32
1881,-0.36
1882,-0.53
1883,-0.36
1884,-0.73
1885,-0.53
1886,-0.23
1887,-0.36
1888,-0.22
1889,-0.23
1890,-0.19
1891,-0.34
1892,-0.34
1893,-0.17
1894,-0.38
1895,-0.31
1896,-0.14
1897,0.07
1898,-0.22
1899,-0.25
1900,-0.14
1901,0.06
1902,-0.20
1903,-0.40
1904,-0.50
1905,-0.20
1906,-0.17
1907,-0.49
1908,-0.22
1909,-0.38
1910,-0.06
1911,-0.42
1912,-0.54
1913,-0.20
1914,-0.23
1915,0.01
1916,-0.36
1917,-0.23
1918,-0.41
1919,-0.10
1920,-0.17
1921,-0.05
1922,-0.15
1923,-0.39
1924,-0.13
1925,-0.33
1926,-0.28
1927,-0.06
1928,-0.13
1929,-0.47
1930,0.01
1931,0.16
1932,-0.03
1933,-0.16
1934,-0.05
1935,-0.06
1936,0.22
1937,-0.03
1938,0.04
1939,0.04
1940,0.15
1941,0.24
1942,-0.10
1943,0.00
1944,0.14
1945,-0.12
1946,-0.02
1947,-0.08
1948,0.03
1949,-0.17
1950,-0.30
1951,0.02
1952,0.13
1953,0.05
1954,-0.13
1955,-0.20
1956,-0.23
1957,-0.17
1958,0.06
1959,0.10
1960,-0.10
1961,0.00
1962,-0.03
1963,0.17
1964,-0.16
1965,-0.17
1966,0.16
1967,-0.11
1968,-0.16
1969,0.12
1970,0.10
1971,-0.07
1972,-0.06
1973,0.23
1974,0.06
1975,0.09
1976,-0.22
1977,0.22
1978,-0.02
1979,0.11
1980,0.23
1981,0.22
1982,0.20
1983,0.35
1984,0.07
1985,-0.10
1986,0.07
1987,0.55
1988,0.54
1989,0.30
1990,0.28
1991,0.47
1992,-0.19
1993,0.29
1994,0.34
1995,0.53
1996,0.44
1997,0.49
1998,1.14
1999,0.68
2000,0.54
2001,0.83
2002,1.00
2003,0.76
2004,0.41
2005,0.96
2006,0.91
2007,0.83
2008,0.87
2009,0.75
2010,1.15
2011,1.05
2012,1.04
2013,0.83
2014,0.80
2015,1.07
2016,1.19
2017,1.24
2018,1.21
2019,1.19
2020,1.23
