Global Land Temperature Anomalies, February
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.72
1881,-0.51
1882,-0.27
1883,-1.48
1884,-0.88
1885,-0.83
1886,-1.04
1887,-0.92
1888,-0.79
1889,-0.10
1890,-0.71
1891,-1.31
1892,-0.34
1893,-1.66
1894,-0.10
1895,-0.97
1896,-0.25
1897,-0.66
1898,-0.65
1899,-0.70
1900,-0.34
1901,-0.31
1902,0.40
1903,0.29
1904,-0.71
1905,-1.36
1906,-0.66
1907,-0.91
1908,-0.46
1909,-0.52
1910,-0.39
1911,-0.77
1912,-0.07
1913,-0.81
1914,0.06
1915,0.08
1916,-0.27
1917,-0.89
1918,-0.64
1919,-0.20
1920,-0.63
1921,-0.14
1922,-0.67
1923,-0.71
1924,-0.31
1925,-0.52
1926,0.41
1927,-0.28
1928,-0.16
1929,-1.20
1930,-0.24
1931,-0.64
1932,-0.37
1933,-0.74
1934,0.43
1935,0.92
1936,-0.78
1937,0.21
1938,0.13
1939,0.03
1940,0.09
1941,0.27
1942,-0.30
1943,0.28
1944,0.35
1945,-0.64
1946,0.31
1947,-0.15
1948,-0.02
1949,-0.40
1950,-0.46
1951,-0.98
1952,0.06
1953,0.39
1954,-0.20
1955,-0.05
1956,-0.62
1957,-0.36
1958,0.39
1959,0.06
1960,0.66
1961,0.40
1962,0.50
1963,0.91
1964,-0.20
1965,-0.38
1966,-0.04
1967,-0.39
1968,-0.06
1969,-0.88
1970,0.57
1971,-0.37
1972,-0.76
1973,0.82
1974,-0.64
1975,0.14
1976,-0.20
1977,0.33
1978,0.22
1979,-0.16
1980,0.45
1981,0.91
1982,0.18
1983,0.87
1984,0.00
1985,-0.34
1986,0.54
1987,1.17
1988,0.37
1989,0.49
1990,0.61
1991,0.83
1992,0.84
1993,0.70
1994,-0.28
1995,1.59
1996,0.79
1997,0.75
1998,1.70
1999,1.70
2000,1.09
2001,0.53
2002,1.71
2003,0.95
2004,1.32
2005,0.76
2006,1.31
2007,1.16
2008,0.61
2009,1.04
2010,1.19
2011,0.59
2012,0.52
2013,1.21
2014,0.36
2015,1.70
2016,2.43
2017,1.79
2018,1.23
2019,1.18
2020,2.27
